,Time,Temperature (° F),,,Dew Point (° F),,,Humidity (%),,,Wind Speed (mph),,,Pressure (Hg),,,Precipation (in),,
,33,61,49,37,38,34,27,92,-,35,12,-,0,30.19,-,30.06,-,0,-
,34,49,42,34,35,27,8,85,-,27,12,-,0,30.35,-,30.17,-,0.06,-
,35,45,36,26,15,8,4,58,-,19,14,-,0,30.55,-,30.33,-,0,-
,36,60,44,27,32,25,15,75,-,29,16,-,0,30.31,-,30.01,-,0.01,-
,37,68,50,31,37,33,31,89,-,26,13,-,0,30.23,-,30.09,-,0,-
,38,76,63,49,56,49,38,80,-,49,21,-,6,30.07,-,29.76,-,0,-
,39,74,64,54,57,53,46,100,-,38,18,-,0,29.77,-,29.6,-,0.09,-
,40,60,46,32,58,32,8,100,-,26,24,-,5,30.31,-,29.51,-,0.11,-
,41,51,39,26,24,12,6,55,-,20,22,-,0,30.5,-,30.17,-,0,-
,42,73,57,41,54,37,25,67,-,26,22,-,4,30.14,-,30.01,-,0,-
,43,83,71,58,62,54,30,87,-,40,25,-,6,30.04,-,29.75,-,0.05,-
,44,64,51,37,34,14,4,39,-,11,15,-,0,30.14,-,29.91,-,0,-
,45,64,47,30,34,24,16,64,-,20,17,-,0,30.1,-,29.73,-,0,-
,46,56,48,39,43,33,14,92,-,26,15,-,0,29.75,-,29.53,-,0.34,-
,47,53,43,32,19,14,9,47,-,17,21,-,0,29.98,-,29.76,-,0,-
,48,66,50,34,32,26,17,59,-,22,20,-,0,30.04,-,29.87,-,0,-
,49,73,55,37,44,33,27,82,-,19,25,-,0,29.96,-,29.87,-,0,-
,50,73,59,44,44,42,40,92,-,35,16,-,0,30.09,-,29.89,-,0,-
,51,73,58,42,42,37,31,89,-,22,13,-,0,30.25,-,30.09,-,0,-
,52,66,55,44,45,36,32,70,-,31,13,-,4,30.29,-,30.09,-,0,-
,53,70,61,51,53,50,46,87,-,46,12,-,0,30.08,-,29.93,-,0,-
,54,77,64,50,54,51,48,100,-,41,13,-,0,29.97,-,29.86,-,0,-
,55,80,64,47,58,53,48,93,-,42,14,-,0,29.96,-,29.81,-,0,-
,56,81,67,52,58,48,18,90,-,19,30,-,5,29.88,-,29.55,-,0,-
,57,56,47,37,24,17,13,54,-,18,14,-,0,30.33,-,29.92,-,0,-
,58,66,51,35,45,26,19,70,-,18,15,-,0,30.45,-,30.33,-,0,-
,59,77,64,50,61,53,46,89,-,50,20,-,0,30.33,-,30.09,-,0,-
Mar,60,79,69,59,63,58,47,93,-,45,35,-,9,30.07,-,29.76,-,0.97,-
,61,62,51,39,60,28,12,97,-,17,18,-,0,30.27,-,29.77,-,0,-
,62,54,43,31,27,17,8,75,-,17,21,-,0,30.56,-,30.29,-,0,-
,63,54,40,25,26,16,7,70,-,17,13,-,0,30.66,-,30.51,-,0,-
,64,53,42,30,26,19,11,78,-,24,17,-,0,30.67,-,30.53,-,0,-
,65,65,50,34,44,36,25,76,-,43,17,-,0,30.53,-,30.4,-,0,-
,66,74,62,49,53,46,41,77,-,33,23,-,7,30.38,-,30.15,-,0,-
,67,69,58,46,56,35,12,78,-,11,23,-,0,30.24,-,30.11,-,0.05,-
,68,75,56,37,35,26,18,70,-,12,23,-,0,30.28,-,30,-,0,-
,69,69,55,41,47,31,15,60,-,25,23,-,0,30.16,-,29.8,-,0,-
,70,50,41,31,20,12,0,59,-,14,14,-,0,30.31,-,30.17,-,0,-
,71,48,39,30,28,22,7,85,-,27,16,-,0,30.43,-,30.29,-,0.03,-
,72,42,34,26,35,30,22,97,-,45,14,-,0,30.4,-,29.88,-,0.47,-
,73,54,42,30,38,29,8,96,-,34,23,-,4,29.95,-,29.65,-,0.25,-
,74,40,32,24,8,1,-5,40,-,19,24,-,0,30.23,-,29.97,-,0,-
,75,50,37,24,11,7,1,50,-,14,17,-,0,30.32,-,30.2,-,0,-
,76,58,41,23,28,14,7,68,-,15,16,-,0,30.46,-,30.21,-,0.03,-
,77,64,54,44,51,44,36,93,-,54,24,-,0,30.22,-,29.9,-,0.5,-
,78,57,47,36,33,30,29,82,-,33,21,-,0,30.27,-,30.05,-,0,-
,79,66,48,30,36,32,29,96,-,26,13,-,0,30.26,-,30.04,-,0,-
,80,82,66,50,51,43,34,59,-,28,15,-,0,30.04,-,29.86,-,0.2,-
,81,64,52,39,57,34,13,93,-,17,21,-,0,30.43,-,29.91,-,0,-
,82,56,44,31,21,16,11,47,-,20,14,-,4,30.61,-,30.45,-,0,-
,83,71,54,37,47,38,25,70,-,42,23,-,4,30.55,-,30.32,-,0,-
,84,76,64,52,52,49,48,83,-,38,21,-,4,30.35,-,30.19,-,0,-
,85,77,65,52,54,51,46,93,-,36,16,-,0,30.25,-,30.12,-,0,-
,86,79,69,59,60,56,53,90,-,48,18,-,0,30.14,-,29.96,-,0.06,-
,87,80,70,60,61,56,50,90,-,42,16,-,0,29.98,-,29.84,-,0.06,-
,88,73,64,55,55,51,49,84,-,49,16,-,0,30.11,-,29.96,-,0,-
,89,67,61,55,54,47,38,86,-,37,16,-,5,30.17,-,29.96,-,0,-
,90,79,69,58,64,58,43,97,-,41,25,-,4,29.94,-,29.57,-,0.42,-
Apr,91,75,62,49,45,43,40,74,-,31,14,-,0,30.11,-,29.79,-,0,-
,92,69,59,49,42,39,35,68,-,32,16,-,4,30.25,-,30.11,-,0,-
,93,76,63,50,62,54,39,93,-,54,23,-,4,30.15,-,29.73,-,0.4,-
,94,82,73,63,61,56,48,93,-,31,24,-,4,29.83,-,29.69,-,0,-
,95,78,66,53,62,54,47,93,-,33,17,-,0,29.96,-,29.72,-,0.32,-
,96,70,60,50,61,49,30,97,-,33,44,-,0,29.7,-,29.44,-,0.09,-
,97,59,51,43,33,27,23,56,-,30,24,-,0,29.97,-,29.67,-,0,-
,98,67,51,34,34,26,18,82,-,18,13,-,0,30.12,-,29.98,-,0,-
,99,77,58,38,41,33,29,82,-,18,14,-,0,30.23,-,30.1,-,0,-
,100,78,64,49,51,45,37,86,-,31,18,-,6,30.35,-,30.22,-,0,-
,101,82,69,55,54,51,48,86,-,33,21,-,6,30.31,-,30.16,-,0,-
,102,83,70,56,56,54,49,86,-,33,14,-,0,30.24,-,30.17,-,0,-
,103,80,67,54,56,49,41,87,-,32,18,-,0,30.32,-,30.22,-,0,-
,104,81,67,53,57,47,33,68,-,36,12,-,0,30.36,-,30.24,-,0,-
,105,85,73,61,60,56,52,90,-,34,21,-,0,30.35,-,30.2,-,0,-
,106,82,71,60,57,54,49,84,-,33,23,-,6,30.27,-,30.09,-,0,-
,107,86,74,62,63,57,53,87,-,34,20,-,0,30.11,-,29.97,-,0.05,-
,108,74,68,61,63,54,35,100,-,35,18,-,4,30.35,-,30.12,-,0.03,-
,109,69,62,55,58,53,37,90,-,39,10,-,0,30.37,-,30.26,-,0,-
,110,85,71,56,63,59,55,93,-,47,15,-,0,30.26,-,30.01,-,0,-
,111,89,76,63,68,62,58,90,-,36,18,-,0,30.01,-,29.85,-,0.21,-
,112,87,72,56,68,62,53,100,-,40,26,-,0,29.98,-,29.78,-,0.09,-
,113,56,55,53,54,52,50,93,-,93,21,-,7,30.06,-,29.96,-,0.77,-
,114,60,57,53,59,54,51,100,-,90,21,-,7,29.96,-,29.66,-,4.51,-
,115,70,64,58,60,58,57,100,-,68,13,-,0,29.75,-,29.59,-,2.17,-
,116,81,69,56,63,60,55,100,-,54,16,-,0,29.84,-,29.75,-,0,-
,117,82,72,62,64,60,56,87,-,43,20,-,6,29.93,-,29.83,-,0,-
,118,88,79,69,71,67,63,90,-,50,17,-,0,30.09,-,29.92,-,0,-
,119,89,81,72,72,70,67,93,-,55,17,-,4,30.19,-,30.09,-,0,-
,120,86,78,70,71,67,64,93,-,48,20,-,5,30.2,-,30.09,-,0.02,-
May,121,85,76,66,71,66,61,90,-,48,28,-,9,30.09,-,29.75,-,0.29,-
,122,77,69,60,67,53,43,93,-,31,23,-,6,29.94,-,29.77,-,0,-
,123,79,66,53,53,47,41,83,-,28,16,-,0,30.1,-,29.95,-,0,-
,124,80,69,57,65,55,44,79,-,48,20,-,7,30.12,-,29.73,-,0.29,-
,125,78,67,56,68,61,44,100,-,45,26,-,6,29.74,-,29.43,-,1.48,-
,126,67,60,53,53,46,35,80,-,34,22,-,4,29.74,-,29.47,-,0.02,-
,127,69,57,45,43,39,34,82,-,32,17,-,0,29.94,-,29.75,-,0,-
,128,71,57,43,44,34,24,83,-,18,16,-,0,30.03,-,29.94,-,0,-
,129,64,54,43,56,48,37,87,-,62,9,-,0,30.06,-,29.96,-,0.01,-
,130,83,70,57,66,61,56,100,-,55,16,-,0,30.01,-,29.9,-,0.45,-
,131,84,73,61,67,64,62,100,-,51,24,-,0,29.91,-,29.75,-,0.48,-
,132,61,58,54,59,55,52,100,-,93,16,-,5,29.96,-,29.84,-,0.07,-
,133,66,59,52,56,53,51,100,-,67,10,-,0,29.87,-,29.78,-,0.23,-
,134,81,65,49,57,53,49,100,-,40,17,-,0,29.93,-,29.82,-,0,-
,135,85,73,60,64,59,55,93,-,40,14,-,0,30,-,29.87,-,0,-
,136,87,72,57,65,58,48,93,-,37,13,-,0,30.1,-,30.01,-,0,-
,137,89,78,66,64,61,57,87,-,40,17,-,0,30.14,-,30.02,-,0,-
,138,86,76,66,68,64,58,87,-,54,18,-,7,30.18,-,30.04,-,0,-
,139,89,79,68,70,66,64,90,-,55,20,-,0,30.12,-,30.02,-,0,-
,140,90,79,67,68,65,62,93,-,41,22,-,4,30.19,-,30.06,-,0,-
,141,76,68,60,65,61,58,90,-,68,14,-,4,30.26,-,30.12,-,0,-
,142,80,74,68,69,67,64,97,-,62,22,-,0,30.11,-,29.94,-,0.3,-
,143,71,69,67,68,67,65,100,-,84,12,-,0,29.98,-,29.66,-,0.69,-
,144,74,70,65,69,66,63,100,-,79,16,-,0,29.69,-,29.52,-,0.29,-
,145,76,68,60,68,60,54,100,-,53,28,-,5,29.73,-,29.48,-,0.82,-
,146,81,70,59,59,56,54,80,-,42,18,-,0,29.95,-,29.75,-,0,-
,147,88,75,61,69,64,58,90,-,50,17,-,0,29.96,-,29.85,-,0,-
,148,86,77,67,70,67,64,100,-,55,17,-,0,29.89,-,29.77,-,0.08,-
,149,87,76,64,69,65,62,93,-,45,12,-,0,30.03,-,29.83,-,0.08,-
,150,82,75,68,70,68,67,100,-,67,12,-,0,30.07,-,30,-,0.06,-
,151,86,77,68,69,65,60,97,-,44,15,-,0,30.08,-,29.99,-,0,-
Jun,152,85,74,62,65,61,56,93,-,37,10,-,0,30.08,-,29.99,-,0,-
,153,85,73,61,63,57,51,87,-,34,13,-,0,30.08,-,29.99,-,0,-
,154,88,73,57,61,58,55,87,-,37,15,-,0,30.09,-,29.99,-,0,-
,155,90,76,61,72,65,58,100,-,38,26,-,0,30.04,-,29.89,-,0.38,-
,156,85,76,67,75,70,66,100,-,74,24,-,0,29.96,-,29.67,-,1.54,-
,157,83,74,64,66,63,59,100,-,47,12,-,0,29.8,-,29.72,-,0,-
,158,77,68,59,62,57,52,81,-,50,18,-,4,29.99,-,29.8,-,0,-
,159,73,64,55,55,53,51,93,-,53,20,-,0,29.98,-,29.85,-,0,-
,160,83,68,53,60,56,52,100,-,42,13,-,0,30.02,-,29.88,-,0,-
,161,89,75,61,68,63,58,100,-,43,16,-,0,30.15,-,30.02,-,0,-
,162,90,79,67,69,65,61,87,-,40,15,-,0,30.23,-,30.14,-,0,-
,163,89,78,67,69,65,64,93,-,46,15,-,4,30.2,-,30.06,-,0,-
,164,89,78,67,71,66,62,90,-,46,17,-,0,30.1,-,29.99,-,0,-
,165,93,80,66,70,68,65,93,-,47,20,-,0,30.01,-,29.91,-,0,-
,166,91,81,70,73,70,68,93,-,50,9,-,0,29.99,-,29.87,-,0,-
,167,89,80,70,75,71,69,100,-,59,23,-,0,29.94,-,29.81,-,2.3,-
,168,86,79,72,75,73,71,100,-,74,15,-,0,29.92,-,29.86,-,0.21,-
,169,91,83,74,75,73,72,0,-,0,17,-,4,29.98,-,29.89,-,0.17,-
,170,92,81,70,75,73,70,94,-,59,25,-,0,30.02,-,29.89,-,0.09,-
,171,82,75,67,71,68,66,97,-,65,13,-,0,30.1,-,30.01,-,0.72,-
,172,85,76,66,72,69,65,100,-,65,15,-,0,30.13,-,30.03,-,0.2,-
,173,84,78,71,75,72,70,100,-,74,16,-,5,30.11,-,30.04,-,0,-
,174,91,82,73,76,73,69,100,-,52,25,-,4,30.05,-,29.84,-,0.04,-
,175,91,81,71,75,72,68,93,-,56,25,-,0,30.02,-,29.81,-,0.46,-
,176,84,76,67,72,67,62,100,-,51,12,-,0,30.1,-,30,-,0,-
,177,85,73,60,64,57,51,90,-,34,12,-,0,30.13,-,30.03,-,0,-
,178,83,71,59,61,56,51,93,-,37,13,-,0,30.1,-,30.01,-,0,-
,179,83,70,57,57,54,50,93,-,33,13,-,0,30.22,-,30.1,-,0,-
,180,87,74,60,64,59,56,90,-,40,14,-,0,30.23,-,30.14,-,0,-
,181,87,78,69,74,70,65,100,-,61,17,-,0,30.15,-,30.03,-,0.05,-
July,182,90,82,73,76,73,70,93,-,63,17,-,6,30.06,-,29.96,-,0,-
,183,92,82,71,73,71,70,94,-,52,10,-,0,30.08,-,30.01,-,0,-
,184,93,82,70,73,70,65,100,-,44,15,-,0,30.07,-,30.01,-,0.15,-
,185,92,82,71,75,72,69,100,-,55,16,-,0,30.1,-,30,-,0.84,-
,186,89,80,70,76,72,69,100,-,59,13,-,0,30.12,-,30.02,-,0.47,-
,187,93,81,68,75,71,66,100,-,52,15,-,0,30.1,-,29.96,-,0,-
,188,91,82,73,72,69,67,87,-,50,16,-,4,29.96,-,29.88,-,0,-
,189,95,83,71,74,71,68,93,-,46,16,-,0,30,-,29.85,-,0.05,-
,190,88,79,69,70,68,64,100,-,46,13,-,0,30.08,-,29.97,-,0,-
,191,90,80,70,74,71,69,93,-,55,15,-,0,30.09,-,30.01,-,0,-
,192,95,83,71,75,71,68,100,-,46,16,-,4,30.09,-,30.01,-,0,-
,193,94,85,75,76,74,72,94,-,52,16,-,5,30.15,-,30.08,-,0,-
,194,97,88,78,77,74,69,91,-,45,17,-,0,30.17,-,30.06,-,0,-
,195,97,87,77,76,73,70,88,-,45,21,-,4,30.13,-,29.98,-,0,-
,196,94,85,75,74,70,64,87,-,41,16,-,0,30.04,-,29.9,-,0,-
,197,91,82,73,73,70,66,93,-,52,15,-,0,30,-,29.92,-,0.05,-
,198,90,81,71,75,71,69,94,-,55,12,-,0,30.06,-,29.96,-,0.02,-
,199,89,80,71,74,71,66,93,-,55,13,-,0,30.14,-,30.04,-,0,-
,200,94,81,67,71,67,63,97,-,38,12,-,0,30.13,-,30.02,-,0,-
,201,99,85,71,73,69,63,100,-,33,10,-,0,30.07,-,29.95,-,0,-
,202,98,86,74,74,71,65,93,-,35,16,-,0,30.01,-,29.93,-,0,-
,203,101,89,76,76,73,71,88,-,42,20,-,5,29.98,-,29.83,-,0,-
,204,102,87,71,76,72,65,100,-,31,25,-,0,29.88,-,29.78,-,0.56,-
,205,93,82,71,74,71,68,100,-,47,14,-,4,29.95,-,29.84,-,0,-
,206,91,83,74,76,70,63,94,-,38,13,-,0,30.11,-,29.96,-,0,-
,207,90,81,72,72,67,64,90,-,44,16,-,0,30.19,-,30.07,-,0,-
,208,94,83,72,74,70,66,85,-,49,16,-,4,30.09,-,29.91,-,0.02,-
,209,94,85,75,76,74,72,100,-,56,20,-,0,29.9,-,29.68,-,0.21,-
,210,82,76,70,74,69,63,94,-,62,18,-,5,29.92,-,29.62,-,0.01,-
,211,85,74,63,62,56,51,87,-,32,17,-,0,30.08,-,29.92,-,0,-
,212,87,73,58,60,56,53,93,-,32,17,-,0,30.14,-,30.06,-,0,-
Aug,213,88,74,60,64,59,54,100,-,31,12,-,0,30.13,-,30.05,-,0,-
,214,91,79,66,67,62,56,81,-,34,9,-,0,30.12,-,30.04,-,0,-
,215,94,81,68,68,65,60,93,-,33,14,-,0,30.14,-,30.05,-,0,-
,216,92,80,68,70,66,59,90,-,34,17,-,0,30.07,-,29.91,-,0,-
,217,92,80,68,70,61,48,84,-,29,15,-,0,30.06,-,29.94,-,0,-
,218,90,78,65,71,63,54,87,-,45,15,-,0,30.12,-,30.02,-,0,-
,219,92,83,74,76,72,68,93,-,47,25,-,0,30.07,-,29.9,-,0.04,-
,220,78,73,68,73,70,66,93,-,76,21,-,0,30.12,-,29.91,-,1.5,-
,221,84,76,67,67,64,59,93,-,47,16,-,0,30.22,-,30.12,-,0,-
,222,88,76,63,66,61,55,100,-,35,12,-,0,30.25,-,30.14,-,0,-
,223,89,81,73,75,71,69,94,-,55,13,-,0,30.16,-,30,-,1.2,-
,224,92,83,73,77,75,73,100,-,59,12,-,0,30.02,-,29.87,-,0.48,-
,225,81,77,73,74,70,66,100,-,62,15,-,0,30.03,-,29.9,-,0.73,-
,226,88,81,73,77,73,68,97,-,63,16,-,0,30.03,-,29.89,-,0.21,-
,227,91,84,76,78,76,74,100,-,56,15,-,0,29.94,-,29.82,-,0.07,-
,228,92,83,74,75,73,69,100,-,49,10,-,0,30.04,-,29.92,-,0,-
,229,94,85,75,78,75,73,94,-,56,21,-,0,30.05,-,29.95,-,0.24,-
,230,98,87,75,78,74,72,94,-,45,16,-,0,29.96,-,29.83,-,0.01,-
,231,92,83,73,75,70,65,100,-,41,10,-,0,29.99,-,29.9,-,0.05,-
,232,95,83,71,72,69,63,100,-,38,13,-,0,30.17,-,30,-,0,-
,233,93,82,71,76,71,68,94,-,49,13,-,0,30.22,-,30.14,-,0,-
,234,96,85,74,75,72,68,100,-,44,16,-,0,30.16,-,29.92,-,0,-
,235,95,85,74,77,74,71,94,-,49,16,-,0,29.92,-,29.81,-,0.21,-
,236,84,78,71,73,69,63,100,-,51,17,-,0,29.99,-,29.87,-,0,-
,237,85,77,68,70,66,62,93,-,48,10,-,0,30.14,-,29.99,-,0,-
,238,83,76,68,68,65,61,97,-,54,15,-,0,30.19,-,30.12,-,0,-
,239,81,72,63,64,60,55,93,-,42,17,-,5,30.19,-,30.11,-,0,-
,240,78,70,62,67,61,58,93,-,54,22,-,6,30.14,-,30.03,-,0.03,-
,241,71,68,64,66,64,63,100,-,84,17,-,4,30.03,-,29.93,-,0.22,-
,242,84,72,59,67,63,59,100,-,55,10,-,0,30.1,-,30.01,-,0,-
,243,87,78,69,71,68,66,100,-,51,16,-,4,30.06,-,29.98,-,0.01,-
Sep,244,78,71,64,72,69,65,100,-,82,22,-,0,30.06,-,29.96,-,1.06,-
,245,83,72,61,71,66,62,100,-,69,13,-,0,30.07,-,29.96,-,0,-
,246,83,73,62,65,62,58,100,-,43,13,-,0,30.08,-,30.01,-,0,-
,247,87,73,59,64,62,59,100,-,43,12,-,0,30.11,-,29.95,-,0,-
,248,90,77,64,70,66,62,93,-,50,22,-,0,29.96,-,29.82,-,0.06,-
,249,82,72,61,69,65,63,100,-,58,16,-,0,29.99,-,29.85,-,0.52,-
,250,76,65,53,61,53,46,100,-,36,14,-,0,30.15,-,29.99,-,0,-
,251,77,64,51,55,51,45,100,-,33,13,-,0,30.23,-,30.15,-,0,-
,252,76,65,53,56,53,48,100,-,41,16,-,0,30.29,-,30.2,-,0,-
,253,71,61,51,53,51,49,93,-,49,21,-,4,30.35,-,30.27,-,0,-
,254,67,63,58,60,57,53,93,-,73,20,-,9,30.27,-,29.99,-,0.01,-
,255,79,71,63,73,68,59,100,-,84,18,-,5,29.98,-,29.83,-,0.63,-
,256,84,73,61,71,65,61,100,-,54,15,-,0,29.98,-,29.87,-,0,-
,257,83,74,64,70,67,63,100,-,51,15,-,0,30,-,29.91,-,0,-
,258,85,74,63,66,64,61,100,-,47,8,-,0,30.1,-,30,-,0,-
,259,85,74,62,68,66,63,100,-,51,14,-,0,30.14,-,30.08,-,0,-
,260,85,74,63,68,66,63,100,-,51,13,-,0,30.13,-,30.02,-,0,-
,261,83,74,65,68,66,64,100,-,55,17,-,0,30.06,-,29.96,-,0,-
,262,85,75,64,66,64,60,100,-,44,10,-,0,30.01,-,29.91,-,0,-
,263,91,77,62,70,65,61,100,-,38,14,-,0,30.03,-,29.93,-,0,-
,264,88,77,65,68,66,64,100,-,46,24,-,0,30.06,-,29.99,-,0,-
,265,89,75,61,67,64,58,100,-,36,13,-,0,30.09,-,29.98,-,0,-
,266,87,74,61,68,62,55,100,-,35,14,-,0,30.08,-,30.02,-,0,-
,267,87,75,63,66,62,56,100,-,37,16,-,0,30.09,-,29.99,-,0,-
,268,83,73,63,68,65,60,93,-,58,16,-,0,30.01,-,29.92,-,0,-
,269,85,77,69,71,69,67,97,-,61,16,-,4,29.94,-,29.86,-,0,-
,270,91,80,68,70,68,65,93,-,44,17,-,0,29.88,-,29.78,-,0,-
,271,94,79,63,67,63,60,100,-,36,17,-,0,29.96,-,29.82,-,0,-
,272,72,66,60,58,54,50,90,-,53,13,-,0,30.12,-,29.98,-,0,-
,273,77,66,54,58,49,33,100,-,21,17,-,0,30.29,-,30.11,-,0,-
Oct,274,71,60,48,51,47,43,86,-,41,16,-,4,30.37,-,30.27,-,0,-
,275,76,62,47,54,51,48,100,-,43,13,-,0,30.44,-,30.33,-,0,-
,276,77,64,50,55,52,46,100,-,33,14,-,0,30.55,-,30.45,-,0,-
,277,82,66,50,58,55,48,100,-,35,9,-,0,30.51,-,30.32,-,0,-
,278,85,70,54,63,57,53,100,-,34,12,-,0,30.32,-,30.15,-,0,-
,279,86,71,55,64,59,53,100,-,34,12,-,0,30.19,-,30.06,-,0,-
,280,86,73,59,74,68,60,100,-,61,17,-,0,30.12,-,30.01,-,0.15,-
,281,84,79,74,75,74,73,100,-,74,17,-,4,30.05,-,29.95,-,0.02,-
,282,92,83,74,75,73,69,100,-,49,26,-,5,30.06,-,29.92,-,0.09,-
,283,90,83,75,77,75,73,100,-,63,13,-,0,30.12,-,30.04,-,0,-
,284,89,81,73,75,74,71,100,-,59,22,-,0,30.07,-,29.96,-,1.12,-
,285,77,71,65,73,70,65,100,-,82,17,-,0,30.2,-,29.99,-,0,-
,286,71,67,63,65,62,60,100,-,73,15,-,4,30.31,-,30.2,-,0,-
,287,78,70,62,65,62,60,100,-,60,9,-,0,30.3,-,30.16,-,0,-
,288,83,73,62,67,65,62,100,-,58,20,-,5,30.2,-,29.99,-,0,-
,289,69,60,51,66,59,47,100,-,72,12,-,0,30.25,-,29.95,-,0.25,-
,290,64,53,42,44,40,34,92,-,31,16,-,0,30.38,-,30.25,-,0,-
,291,68,53,37,47,40,31,100,-,26,12,-,0,30.41,-,30.32,-,0,-
,292,76,59,42,54,48,42,100,-,36,12,-,0,30.33,-,30.2,-,0,-
,293,77,60,43,54,49,44,100,-,36,12,-,0,30.28,-,30.19,-,0,-
,294,79,64,48,57,52,48,100,-,38,10,-,0,30.35,-,30.25,-,0,-
,295,79,65,51,61,56,52,100,-,45,10,-,0,30.38,-,30.26,-,0,-
,296,76,69,61,70,64,58,100,-,54,24,-,5,30.25,-,29.76,-,1.12,-
,297,72,62,52,62,58,53,100,-,53,16,-,0,29.88,-,29.78,-,0,-
,298,66,54,42,52,40,31,100,-,30,15,-,0,29.86,-,29.77,-,0,-
,299,63,53,42,38,35,27,76,-,27,13,-,0,30.07,-,29.83,-,0,-
,300,73,56,38,46,42,36,92,-,38,14,-,0,30.12,-,30.05,-,0,-
,301,74,61,47,61,52,45,93,-,57,14,-,0,30.06,-,29.78,-,0.76,-
,302,68,55,41,65,56,31,100,-,62,21,-,0,29.73,-,29.35,-,0.78,-
,303,59,48,36,38,32,30,76,-,36,15,-,0,30.04,-,29.59,-,0,-
,304,69,54,39,49,41,37,93,-,36,9,-,0,30.19,-,30.05,-,0,-
Nov,305,73,60,46,57,50,45,100,-,41,12,-,0,30.24,-,30.15,-,0,-
,306,78,67,55,60,58,56,100,-,48,10,-,0,30.27,-,30.18,-,0,-
,307,81,67,52,63,58,52,100,-,49,13,-,0,30.19,-,30.06,-,0,-
,308,64,60,56,61,57,54,97,-,84,16,-,0,30.24,-,30.11,-,0,-
,309,70,61,51,60,55,51,100,-,73,8,-,0,30.22,-,30.11,-,0,-
,310,76,65,53,63,58,53,100,-,64,18,-,0,30.13,-,29.99,-,0,-
,311,63,54,44,62,57,43,100,-,93,16,-,0,30.09,-,29.97,-,0.1,-
,312,45,44,43,44,43,42,100,-,92,16,-,6,30.19,-,30.08,-,0.13,-
,313,50,48,45,49,47,44,100,-,100,12,-,0,30.13,-,30.05,-,0.27,-
,314,58,47,35,49,39,21,100,-,43,22,-,0,30.48,-,30.07,-,0,-
,315,46,37,28,30,22,16,82,-,41,16,-,0,30.61,-,30.48,-,0,-
